studyName,"Date GMT",Island,Colony,Adults
PAL9596,1996-02-05,HUM,1.3,0
PAL9596,1996-02-05,HUM,4.0,0
PAL9596,1996-02-05,HUM,5.0,0
PAL9697,1996-10-16,HUM,1.1,0
PAL9697,1996-10-16,HUM,1.2,0
PAL9697,1996-10-16,HUM,1.3,0
PAL9697,1996-10-16,HUM,2.1,2
PAL9697,1996-10-16,HUM,2.2,0
PAL9697,1996-10-16,HUM,4.0,1
PAL9697,1996-10-16,HUM,5.0,11
PAL9697,1996-10-16,HUM,5.0,11
PAL9697,1996-10-18,HUM,1.1,0
PAL9697,1996-10-18,HUM,1.2,0
PAL9697,1996-10-18,HUM,1.3,0
PAL9697,1996-10-18,HUM,2.1,16
PAL9697,1996-10-18,HUM,2.2,8
PAL9697,1996-10-18,HUM,4.0,22
PAL9697,1996-10-18,HUM,5.0,45
PAL9697,1996-10-22,HUM,1.1,0
PAL9697,1996-10-22,HUM,1.2,8
PAL9697,1996-10-22,HUM,1.3,0
PAL9697,1996-10-22,HUM,2.1,66
PAL9697,1996-10-22,HUM,2.2,26
PAL9697,1996-10-22,HUM,4.0,94
PAL9697,1996-10-22,HUM,5.0,160
PAL9697,1996-10-30,HUM,1.1,10
PAL9697,1996-10-31,HUM,1.2,42
PAL9697,1996-10-31,HUM,1.3,4
PAL9697,1996-10-31,HUM,2.1,184
PAL9697,1996-10-31,HUM,2.2,90
PAL9697,1996-10-31,HUM,4.0,223
PAL9697,1996-10-31,HUM,5.0,423
PAL9697,1996-11-03,HUM,1.1,6
PAL9697,1996-11-03,HUM,1.2,42
PAL9697,1996-11-03,HUM,1.3,6
PAL9697,1996-11-03,HUM,2.1,191
PAL9697,1996-11-03,HUM,2.2,101
